iter	RMSE
0	10.44650906
1	10.29041838
2	10.13294407
3	10.00424445
4	9.874927337
5	9.758631243
6	9.649060606
7	9.55323192
8	9.460190635
9	9.371176275
10	9.29833396
11	9.233544351
12	9.167464436
13	9.116368856
14	9.063323586
15	9.014627483
16	8.96684174217	8.922802193
18	8.88181081
19	8.839085333
20	8.807678757
21	8.772855873
22	8.744783031
23	8.720636236
24	8.702010974
25	8.673581866
26	8.652124146
27	8.633249227
28	8.613001265
29	8.591840824
30	8.575502976
31	8.555665505
32	8.537289184
33	8.519941813
34	8.495602658
35	8.474410951
36	8.454190245
37	8.43841423
38	8.416802394
39	8.402707012
40	8.392057194
41	8.378524586
42	8.369070531
43	8.352775882
44	8.340165486
45	8.327548996
46	8.317297682
47	8.299812112
48	8.287836583
49	8.276522888
50	8.265026155
51	8.247765957
52	8.237584203
53	8.228329758
54	8.216437231
55	8.208966159
56	8.200547368
57	8.188469091
58	8.186489787
59	8.178838782
60	8.166874519
61	8.153070485
62	8.139298325
63	8.132782563
64	8.118481137
65	8.101293658
66	8.100297679
67	8.09196649
68	8.081574308
69	8.068875715
70	8.065820156
71	8.057191231
72	8.047297496
73	8.040558843
74	8.034972148
75	8.020127767676	8.010016188
77	7.997614597878	7.988995182
79	7.985805084
80	7.974908568
81	7.96457712
82	7.953899122
83	7.94365437
84	7.934796741
85	7.925466962
86	7.916580475
87	7.906493089
88	7.906185971
89	7.894924125
90	7.888216292
91	7.881814162
92	7.871641009
93	7.863377852
94	7.85659523
95	7.84876432
96	7.839029395
97	7.831115777
98	7.82335854
99	7.817835719
100	7.809055182
101	7.798113027
102	7.783219466
103	7.773060168
104	7.759531073
105	7.753517245
106	7.742989734
107	7.734971436
108	7.726494952
109	7.722247349
110	7.718557802
111	7.709491073
112	7.693498262
113	7.681869281
114	7.674914455
115	7.665021779
116	7.664871924
117	7.65501189
118	7.646708737
119	7.632712781
120	7.626395652
121	7.617550083
122	7.602140173
123	7.594451138
124	7.591803572
125	7.583623281
126	7.576941198
127	7.573855274
128	7.564257317
129	7.555777253
130	7.549217351
131	7.543556321
132	7.532748718
133	7.527166851
134	7.518023616
135	7.508711284
136	7.497116764
137	7.483979752
138	7.478309876
139	7.466417193
140	7.463451946
141	7.456527632
142	7.449841799
143	7.439223332
144	7.428419296
145	7.422666301
146	7.417258235
147	7.407525083
148	7.397219287
149	7.392545489
150	7.383355267
151	7.37193071
152	7.360531292
153	7.353446004
154	7.345110443
155	7.338659872
156	7.328674956
157	7.322289915
158	7.313774726
159	7.308232159
160	7.30040327
161	7.287797025
162	7.276616483
163	7.264557107
164	7.259019903
165	7.24525964
166	7.238581402
167	7.228557087
168	7.223466274
169	7.211840313
170	7.204828181
171	7.200305824
172	7.192188074
173	7.183571929
174	7.177063269
175	7.1681105
176	7.155614051
177	7.145841982
178	7.138434281
179	7.124335537
180	7.117743664
181	7.106830108
182	7.101480389
183	7.092049019
184	7.083473949
185	7.079471623
186	7.076341072
187	7.066453986
188	7.059997433
189	7.048202258
190	7.040269007
191	7.031746755
192	7.024543787
193	7.0175034
194	7.010260546
195	6.999894469
196	6.9873226
197	6.979173066
198	6.966017148
199	6.958998281
200	6.95264694
201	6.947182711
202	6.939185186
203	6.932813641
204	6.926136062
205	6.919310515
206	6.912391031
207	6.902951057
208	6.898004152
209	6.890267303
210	6.88457294
211	6.878130507
212	6.87377142
213	6.865369243
214	6.859601366
215	6.846764582
216	6.841457831
217	6.833968918
218	6.820606429
219	6.812020059
220	6.799821185
221	6.793002774
222	6.785457708
223	6.774543808
224	6.76964237
225	6.764672046
226	6.759471706
227	6.750354678
228	6.743457865
229	6.736286
230	6.728626906
231	6.723142728
232	6.714577403
233	6.707115552
234	6.700429369
235	6.694213534
236	6.686817032
237	6.680688964
238	6.672705046
239	6.66776803
240	6.662528177
241	6.650694487
242	6.644280102
243	6.639365132
244	6.633140125
245	6.626847379
246	6.621323538
247	6.617585373
248	6.612721666
249	6.602109346
250	6.597775042
251	6.590906432
252	6.585912145
253	6.582458328
254	6.573412184
255	6.565966959
256	6.556639286
257	6.548945456
258	6.541570228
259	6.532064837
260	6.520559071
261	6.512676448
262	6.507005934
263	6.500062378
264	6.489279931
265	6.480247733
266	6.471487282
267	6.46456499
268	6.463986525
269	6.459603402
270	6.450013617
271	6.443771217
272	6.43147228
273	6.424462465
274	6.420455716
275	6.415022658
276	6.40752318
277	6.403872927
278	6.398209575
279	6.394552913
280	6.389380759
281	6.383540638
282	6.376620366
283	6.366628367
284	6.359431088
285	6.352694131
286	6.348360459
287	6.347867191
288	6.343491543
289	6.337292444
290	6.336741484
291	6.333364999
292	6.327259076
293	6.322124313
294	6.315865915
295	6.313898632
296	6.305297478
297	6.294066495
298	6.285486103
299	6.276033801
300	6.269975758
301	6.265019218
302	6.257875458
303	6.253694401
304	6.244933624
305	6.239506934
306	6.230183805
307	6.227701476
308	6.22198917
309	6.216275703
310	6.209014
311	6.204693343
312	6.196505648
313	6.191412464
314	6.18658809
315	6.179233722
316	6.16893313
317	6.163228567
318	6.158238827
319	6.150611272
320	6.140353951
321	6.136659578
322	6.129361351
323	6.122473267
324	6.114779688
325	6.107746855
326	6.102836166
327	6.098187148
328	6.092117167
329	6.087967346
330	6.083434728
331	6.07927831
332	6.075164036
333	6.064417399
334	6.0589146
335	6.052895036
336	6.04381253
337	6.038719451
338	6.035005288
339	6.029288317
340	6.022335896
341	6.01710591
342	6.007254686
343	5.998097532
344	5.992907978
345	5.982661292
346	5.973607742
347	5.966709341
348	5.959419483
349	5.951496466
350	5.947117257
351	5.939874081
352	5.936148808
353	5.929852095
354	5.924843051
355	5.917857541
356	5.912126071
357	5.906375601
358	5.902398459
359	5.894600957
360	5.889462376
361	5.881734273
362	5.877905721
363	5.869222076
364	5.862906367
365	5.856228837
366	5.850961246
367	5.846920634
368	5.840829392
369	5.835451844
370	5.83183508
371	5.822867816
372	5.817206626
373	5.808593346
374	5.806143337
375	5.801590863
376	5.793036604
377	5.786782592
378	5.779543919
379	5.77654129
380	5.770766022
381	5.762413885
382	5.756343548
383	5.75137458
384	5.749118295
385	5.742303608
386	5.734712153
387	5.725901145
388	5.721896678
389	5.717886417
390	5.710318336
