iter	Passed	Remaining
681	17583	8198
682	17605	8171
683	17611	8136
684	17645	8114
685	17670	8088
686	17672	8051
687	17705	8029
688	17740	8007
689	17801	7997
690	17813	7965
691	17838	7939
692	17957	7955
693	17994	7934
694	18021	7908
695	18061	7888
696	18067	7854
697	18121	7840
698	18140	7811
699	18185	7793
700	18212	7768
701	18245	7745
702	18294	7728
703	18357	7718
704	18418	7707
705	18458	7686
706	18473	7656
707	18479	7621
708	18523	7602
709	18576	7587
710	18603	7561
711	18703	7565
712	18713	7532
713	18742	7507
714	18750	7473
715	18774	7446
716	18782	7413
717	18827	7394
718	18898	7386
719	18938	7364
720	18959	7336
721	18990	7312
722	18994	7277
723	19024	7252
724	19048	7225
725	19059	7193
726	19091	7169
727	19101	7136
728	19130	7111
729	19198	7100
730	19237	7079
731	19264	7053
732	19307	7032
733	19328	7004
734	19419	7001
735	19431	6969
736	19456	6943
737	19460	6908
738	19488	6882
739	19539	6865
740	19568	6839
741	19572	6805
742	19585	6774
743	19634	6755
744	19669	6732
745	19675	6699
746	19678	6664
747	19720	6643
748	19778	6628
749	19810	6603
750	19813	6569
751	19822	6537
752	19840	6508
753	19877	6485
754	19915	6462
755	19928	6432
756	19956	6406
757	19966	6374
758	19999	6350
759	20001	6316
760	20022	6288
761	20033	6257
762	20054	6229
763	20079	6202
764	20107	6176
765	20148	6155
766	20153	6122
767	20178	6095
768	20218	6073
769	20238	6045
770	20266	6019
771	20277	5988
772	20320	5967
773	20341	5939
774	20399	5922
775	20430	5897
776	20460	5872
777	20467	5840
778	20498	5815
779	20517	5787
780	20544	5760
781	20568	5733
782	20578	5703
783	20609	5678
784	20613	5645
785	20617	5613
786	20621	5581
787	20642	5553
788	20702	5536
789	20744	5514
790	20746	5481
791	20793	5461
792	20831	5437
793	20851	5409
794	20874	5382
795	20880	5351
796	20909	5325
797	20915	5294
798	20942	5268
799	20967	5241
800	20970	5209
801	20982	5180
802	21007	5153
803	21056	5133
804	21082	5107
805	21117	5082
806	21153	5059
807	21181	5033
808	21209	5007
809	21213	4975
810	21222	4945
811	21228	4914
812	21240	4885
813	21250	4855
814	21271	4828
815	21302	4803
816	21331	4777
817	21349	4750
818	21381	4725
819	21414	4700
820	21437	4673
821	21478	4651
822	21486	4621
823	21506	4593
824	21522	4565
825	21605	4551
826	21646	4528
827	21699	4507
828	21724	4481
829	21753	4455
830	21783	4430
831	21823	4406
832	21851	4380
833	21886	4356
834	21895	4326
835	21904	4297
836	21949	4274
837	21967	4246
838	21971	4216
839	22005	4191
840	22067	4172
841	22080	4143
842	22150	4125
843	22188	4101
844	22192	4070
845	22221	4045
846	22239	4017
847	22247	3987
848	22274	3961
849	22279	3931
850	22305	3905
851	22374	3886
852	22404	3861
853	22425	3833
854	22447	3806
855	22491	3783
856	22508	3755
857	22540	3730
858	22574	3705
859	22600	3679
860	22658	3658
861	22699	3633
862	22706	3604
863	22735	3578
864	22756	3551
865	22759	3521
866	22811	3499
867	22836	3472
868	22845	3443
869	22880	3418
870	22917	3394
871	22939	3367
872	23004	3346
873	23032	3320
874	23095	3299
875	23144	3276
876	23175	3250
877	23193	3222
878	23199	3193
879	23227	3167
880	23232	3138
881	23239	3109
882	23252	3081
883	23301	3057
884	23317	3029
885	23326	3001
886	23330	2972
887	23343	2944
888	23364	2917
889	23392	2891
890	23398	2862
891	23404	2833
892	23411	2805
893	23422	2777
894	23431	2748
895	23436	2720
896	23455	2693
897	23480	2667
898	23485	2638
899	23536	2615
900	23544	2587
901	23552	2558
902	23577	2532
903	23591	2505
904	23600	2477
905	23644	2453
906	23657	2425
907	23668	2398
908	23687	2371
909	23692	2343
910	23704	2315
911	23718	2288
912	23727	2261
913	23754	2235
914	23782	2209
915	23816	2184
916	23827	2156
917	23877	2132
918	23885	2105
919	23928	2080
920	23989	2057
921	24036	2033
922	24055	2006
923	24107	1982
924	24150	1958
925	24153	1930
926	24169	1903
927	24223	1879
928	24227	1851
929	24244	1824
930	24252	1797
931	24267	1770
932	24275	1743
933	24285	1716
934	24312	1690
935	24320	1662
936	24329	1635
937	24335	1608
938	24342	1581
939	24396	1557
940	24423	1531
941	24433	1504
942	24489	1480
943	24503	1453
944	24511	1426
945	24545	1401
946	24554	1374
947	24565	1347
948	24603	1322
949	24633	1296
950	24641	1269
951	24668	1243
952	24710	1218
953	24721	1192
954	24741	1165
955	24744	1138
956	24751	1112
957	24761	1085
958	24768	1058
959	24825	1034
960	24839	1008
961	24849	981
962	24867	955
963	24872	928
964	24900	903
965	24907	876
966	24909	850
967	24912	823
968	24915	797
969	24920	770
970	24926	744
971	24944	718
972	24948	692
973	24956	666
974	24962	640
975	24965	613
976	24980	588
977	24986	562
978	24989	536
979	24994	510
980	25010	484
981	25013	458
982	25018	432
983	25021	406
984	25029	381
985	25032	355
986	25037	329
987	25043	304
988	25046	278
989	25049	253
990	25052	227
991	25056	202
992	25061	176
993	25064	151
994	25079	126
995	25081	100
996	25085	75
997	25087	50
998	25091	25
999	25095	0
401	52
998	26416	26
999	26425	0
6
999	26169	0
6406	0
998	27796	27
999	27817	0
225	0
